,DOC,PAGE,PAIRS,PRICES,DATE,ACCOUNT
0,079482 03-13-25 Invoices.pdf,23,2,3,2025-02-11,
1,079567 04-10-25 Invoices.pdf,61,0,0,2025-03-18,
2,079567 04-10-25 Invoices.pdf,62,12,12,2025-03-18,
3,079567 04-10-25 Invoices.pdf,63,7,7,2025-03-18,
