ITEM_NAME,VENDOR,BRAND,VENDOR_CODE,UNIT_TYPE,SUBUNIT,SUBUNIT_SIZE,UNIT_PRICE,LAST_UPDATE,ACCOUNT,FLAG
"CUKES, ENGLISH",STAN SETAS,,2905,CASE,,,$24.95 ,9/11/2025,KITCHEN,
ACORN SQUASH,STAN SETAS,,4626,EACH,,,$2.65 ,9/5/2025,KITCHEN,
"APPLES, FUJI 72'S",STAN SETAS,,170,CASE,,,$58.50 ,9/17/2025,KITCHEN,
"APPLES, GRANNY SMITH 72'S",STAN SETAS,,235,EACH,,,$0.80 ,9/11/2025,KITCHEN,
"APPLES, GRANNY SMITH 72'S",STAN SETAS,,235,EACH,,, $-   ,9/12/2025,KITCHEN,
"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,,$54.50 ,9/11/2025,KITCHEN,
"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,, $-   ,9/11/2025,KITCHEN,
"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,,$54.50 ,9/12/2025,KITCHEN,
"ASPARAGUS, 11-LBS., LARGE",STAN SETAS,,2410,CASE,,,$54.50 ,9/17/2025,KITCHEN,
BABY ARTISAN LETTUCE CLAMSHELL,STAN SETAS,,0,CASE,,,$42.50 ,9/11/2025,KITCHEN,
BABY ARTISAN LETTUCE CLAMSHELL,STAN SETAS,,0,CASE,,, $-   ,9/11/2025,KITCHEN,
"BABY DILL, DOMESTIC 1-LB.",STAN SETAS,,0,CASE,,,$9.75 ,9/13/2025,KITCHEN,
BABY RAINBOW CARROTS W/TOPS,STAN SETAS,,0,CASE,,,$29.75 ,9/9/2025,KITCHEN,
BABY RAINBOW CARROTS W/TOPS,STAN SETAS,,0,CASE,,,$29.80 ,9/12/2025,KITCHEN,
"BANANAS, 10-LB. CHIQUITA",STAN SETAS,,586,CASE,,,$9.75 ,9/9/2025,KITCHEN,
"BANANAS, 10-LB. CHIQUITA",STAN SETAS,,586,CASE,,,$9.75 ,9/12/2025,KITCHEN,
"BANANAS, 10-LB. CHIQUITA",STAN SETAS,,586,CASE,,,$9.75 ,9/4/2025,KITCHEN,
"BASIL, DOMESTIC 1-LB.",STAN SETAS,,5035,CASE,,,$8.75 ,9/16/2025,KITCHEN,
"BASIL, DOMESTIC 1-LB.",STAN SETAS,,5035,CASE,,,$8.75 ,9/6/2025,KITCHEN,
"BEANS, GREEN TRIMMED 2/5#",STAN SETAS,,2490,CASE,,,$36.50 ,9/9/2025,KITCHEN,
"BEANS, GREEN TRIMMED 2/5#",STAN SETAS,,2490,CASE,,,$36.50 ,9/3/2025,KITCHEN,
"BEANS, GREEN TRIMMED 2/5#",STAN SETAS,,2490,CASE,,,$36.50 ,9/4/2025,KITCHEN,
"BLACKBERRIES, DRISCOL 6/12OZ.",STAN SETAS,,0,CASE,,,$38.50 ,9/12/2025,KITCHEN,
"BLACKBERRIES, DRISCOLL 12/20OZ",STAN SETAS,,0,CASE,,,$22.75 ,9/10/2025,KITCHEN,
"BLACKBERRIES, DRISCOLL, 12/6OZ",STAN SETAS,,640,CASE,,,$42.50 ,9/16/2025,KITCHEN,
"BLACKBERRIES, DRISCOLL, 12/6OZ",STAN SETAS,,640,CASE,,,$38.50 ,9/6/2025,KITCHEN,
"BLUEBERRIES, DRISCOLL 12/20OZ.",STAN SETAS,,0,CASE,,,$46.50 ,9/14/2025,KITCHEN,
"BLUEBERRIES, PERUVIAN 6/28OZ.",STAN SETAS,,0,CASE,,,$46.50 ,9/9/2025,KITCHEN,
"BLUEBERRIES, PERUVIAN JUMBO",STAN SETAS,,0,CASE,,,$46.50 ,9/16/2025,KITCHEN,
"BROCCOLI CROWNS, 20-LBS.",STAN SETAS,,2530,CASE,,,$36.50 ,9/12/2025,KITCHEN,
"BROCCOLI CROWNS, 20-LBS.",STAN SETAS,,2530,CASE,,,$42.50 ,9/17/2025,KITCHEN,
"BROCCOLI CROWNS, 20-LBS.",STAN SETAS,,2530,CASE,,,$36.50 ,9/4/2025,KITCHEN,
BRUSSEL SPROUTS,STAN SETAS,,5970,LB,,,$2.95 ,9/12/2025,KITCHEN,
BUTTERNUT SQUASH,STAN SETAS,,4625,EACH,,,$2.75 ,9/12/2025,KITCHEN,
BUTTERNUT SQUASH,STAN SETAS,,4625,EACH,,,$2.95 ,9/16/2025,KITCHEN,
"CANTALOUPES, 9'S",STAN SETAS,,1205,CASE,,,$36.50 ,9/11/2025,KITCHEN,
"CANTALOUPES, 9'S",STAN SETAS,,1205,EACH,,,$4.75 ,9/5/2025,KITCHEN,
"CARROTS, BABY PEELED W/ TOPS",STAN SETAS,,2695,CASE,,,$29.80 ,9/11/2025,KITCHEN,
"CARROTS, LOOSE 25#",STAN SETAS,,2670,LB,,,$1.25 ,9/3/2025,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$2.95 ,9/11/2025,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$2.95 ,9/12/2025,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$3.75 ,9/16/2025,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$3.75 ,9/17/2025,KITCHEN,
"CAULIFLOWER, CELLO, 12'S",STAN SETAS,,2740,EACH,,,$3.75 ,9/3/2025,KITCHEN,
